session,bill_number,title,index_categories,index_descriptions,last_action,url
2019 Regular Session,HB321,AN ACT relating to the private motor vehicle rentals and making an appropriation therefor.,"Fiscal Note; Local Government; Motor Vehicles; Motor Vehicles; Motor Vehicles; Taxation, Sales and Use; Transportation","Private vehicle rental transactions, require collection of usage tax; Private vehicle rentals, license fee on; Private vehicle rentals, certificates for program providers; Private vehicle rentals, group insurance policy requirements; Private vehicle rentals, procedures and regulations for; Private vehicle rental transactions, require collection of usage tax; Private vehicle rentals, procedures and regulations for",02/13/19: to Appropriations &amp; Revenue (H),https://apps.legislature.ky.gov/record/19rs/hb321.html
2019 Regular Session,HB273,"AN ACT relating to professional and volunteer firefighters programs, declaring an emergency, and making an appropriation therefor.","Fiscal Note; Effective Dates, Emergency; Fire Prevention; Firefighters and Fire Departments; Mental Health; Appropriations; Votes; Vote History",Firefighter's professional development and wellness program; Firefighter's professional development and wellness program; Firefighter's professional development and wellness program; Professional development and wellness program; Firefighter's professional development and wellness program; Firefighter's professional development and wellness program,03/25/19: signed by Governor  (KY Acts ch. 067),https://apps.legislature.ky.gov/record/19rs/hb273.html
2019 Regular Session,HB307,AN ACT relating to employer contribution rates for Kentucky Employees Retirement System for fiscal year 2019-2020 and making an appropriation therefor.,Retirement and Pensions; Universities and Colleges; Appropriations; Budget and Financial Administration; Special Purpose Governmental Entities; Actuarial Analysis,"Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees",02/12/19: to State Government (H),https://apps.legislature.ky.gov/record/19rs/hb307.html
2019 Regular Session,HB261,AN ACT relating to employment.,Labor and Industry; Local Government; State Employees; Workforce,"Labor organizations, remove limitations on membership; Labor organizations, allow agreement with to require membership as a condition of employment; Organization, authority to associate, organize, and strike; Labor organizations, protections on membership in",02/07/19: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/19rs/hb261.html
2019 Regular Session,HB310,AN ACT relating to medication-assisted treatment program licensing.,"Court of Appeals; Courts; Drugs and Medicines; Health and Medical Services; Insurance, Health; Pharmacists; Physicians and Practitioners; Secretary of State; State Agencies; Substance Abuse","Medication-assisted treatment programs, establish civil procedure and penalty; Medication-assisted treatment programs, establish civil procedure and penalty; Medication-assisted treatment, establish licensure; Medication-assisted treatment, establish licensure; Medication-assisted treatment, allow coverage of; Medication-assisted treatment, establish licensure; Medication-assisted treatment, establish licensure; Medication-assisted treatment programs, require registration; Medication-assisted treatment, establish licensure; Medication-assisted treatment, establish licensure",02/12/19: to Health and Family Services (H),https://apps.legislature.ky.gov/record/19rs/hb310.html
2019 Regular Session,HB378,AN ACT relating to youth homelessness.,"Education, Elementary and Secondary; Public Records and Reports; Children and Minors; Children and Minors; Jump to Proposed Amendments; House Committee Substitute 1; Senate Committee Substitute 1; Votes; Vote History","Homeless student coursework completion, allowing for; Homeless youth, birth certificate access, allowing for; Homeless student coursework completion, allowing for; Homeless youth, birth certificate access, allowing for",03/26/19: signed by Governor  (KY Acts ch. 144),https://apps.legislature.ky.gov/record/19rs/hb378.html
2019 Regular Session,HB401,AN ACT repealing pension provisions enacted by the 2018 General Assembly that were declared unconstitutional and void by the Kentucky Supreme Court.,Retirement and Pensions; State Employees; Teachers; Public Officers and Employees; Actuarial Analysis,"Repeal the provisions of SB 151 (RS 2018), unconstitutional and void; Pensions, repeal the provisions of SB 151 (RS 2018), unconstitutional and void; Pension, repeal the provisions of SB 151 (RS 2018), unconstitutional and void; Pensions, repeal the provisions of SB 151 (RS 2018), unconstitutional and void; Pension, repeal the provisions of SB 151 (RS 2018), unconstitutional and void",02/19/19: to State Government (H),https://apps.legislature.ky.gov/record/19rs/hb401.html
2019 Regular Session,HB322,AN ACT relating to the Occupational Safety and Health Standards Board.,Labor and Industry; Occupational Safety and Health; Boards and Commissions; Workforce,"Occupational Safety and Health Standards Board, meetings and terms; Standards Board, meetings and terms; Occupational Safety and Health Standards Board, meetings and terms; Occupational Safety and Health Standards Board, meetings and terms","02/13/19: to Licensing, Occupations, &amp; Admin Regs (H)",https://apps.legislature.ky.gov/record/19rs/hb322.html
2019 Regular Session,HB383,AN ACT relating to taxation of vapor products and making an appropriation therefor.,"Effective Dates, Delayed; Retirement and Pensions; Taxation; Tobacco","Tobacco products tax, vapor products, June 30, 2019; Kentucky permanent pension fund, vapor products tax revenue, deposit; Vapor products; Tobacco products tax, vapor products",02/15/19: to Appropriations &amp; Revenue (H),https://apps.legislature.ky.gov/record/19rs/hb383.html
2019 Regular Session,HB424,AN ACT relating to health benefit coverage of chronic pain treatments.,"Effective Dates, Delayed; Health and Medical Services; Insurance, Health; Public Medical Assistance; Medicaid; Health Benefit Mandate","Chronic pain treatments, January 1, 2020; Chronic pain treatments, coverage; Chronic pain treatments, coverage; Chronic pain treatments, coverage; Chronic pain treatments, coverage; Chronic pain treatments, coverage",02/20/19: to Banking &amp; Insurance (H),https://apps.legislature.ky.gov/record/19rs/hb424.html
2019 Regular Session,HB427,AN ACT relating to state symbols.,State Symbols and Emblems; State Symbols and Emblems,"Coal, official rock of Kentucky, name and designate; Kentucky agate, official mineral of Kentucky, name and designate",02/22/19: posted in committee,https://apps.legislature.ky.gov/record/19rs/hb427.html
2019 Regular Session,HB425,AN ACT relating to opioid use reduction.,Drugs and Medicines; Health and Medical Services; Physicians and Practitioners; Substance Abuse,"Alternative treatments, chronic pain; Alternative treatments, chronic pain; Alternative treatments, chronic pain; Alternative treatments, chronic pain",02/20/19: to Health and Family Services (H),https://apps.legislature.ky.gov/record/19rs/hb425.html
2019 Regular Session,HB426,AN ACT relating to nonteaching time for teachers.,"Education, Elementary and Secondary; Teachers","Teachers, required nonteaching time; Nonteaching time, activities permitted",02/20/19: to Education (H),https://apps.legislature.ky.gov/record/19rs/hb426.html
2019 Regular Session,HB448,AN ACT proposing to amend Section 46 of the Constitution of Kentucky relating to bills considered for final passage.,"County Clerks; Elections and Voting; General Assembly; Secretary of State; Constitution, Ky.","Constitutional amendment, General Assembly, bills considered for final passage, ballot access; Constitutional amendment, General Assembly, bills considered for final passage, 24-hour publication; Constitutional amendment, bills considered for final passage, 24-hour publication requirement; Constitutional amendment, General Assembly, bills considered for final passage, ballot access; General Assembly, bills considered for final passage, 24-hour publication before final vote","02/20/19: to Elections, Const. Amendments &amp; Intergovernmental Affairs (H)",https://apps.legislature.ky.gov/record/19rs/hb448.html
2019 Special Session,HB3,"AN ACT relating to employer contribution rates for the Kentucky Employees Retirement System for fiscal year 2019-2020, making an appropriation therefor, and declaring an emergency.","Effective Dates, Emergency; Retirement and Pensions; Universities and Colleges; Retroactive Legislation; Appropriations; Budget and Financial Administration; Special Purpose Governmental Entities; Actuarial Analysis; Local Mandate","Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees; Kentucky Employees Retirement System, employer contribution rate for quasi-governmental employees",07/19/19: posted in committee,https://apps.legislature.ky.gov/record/19ss/hb3.html
2020 Regular Session,HB7,AN ACT relating to the expansion of gaming and making an appropriation therefor.,"Effective Dates, Delayed; Elections and Voting; Fees; Gambling; Licensing; Lottery; Occupations and Professions; Retirement and Pensions; Taxation; Taxation","Constitutional amendment, passage of; Casino gaming, local option elections for; Casino gaming, licensing fees for; Casino gaming, licensing for; Casino gaming, licensing for; Casino gaming, oversight of; Casino occupations, licensing for; Casino gaming, revenue generated by; Casinos, admissions tax on; Casinos, gaming tax on","01/07/20: to Licensing, Occupations, &amp; Admin Regs (H)",https://apps.legislature.ky.gov/record/20rs/hb7.html
2019 Special Session,HB2,AN ACT proposing to create a new section of the Constitution of Kentucky relating to education funding.,"Fiscal Note; Actuarial Analysis; Local Mandate; Effective Dates, Emergency; Public Officers and Employees; Retirement and Pensions; State Agencies; Retroactive Legislation","Kentucky Retirement System, KERS employer contribution rate for quasi-governmental employers; Kentucky Retirement Systems, KERS employer contribution rate for quasi-governmental employers; Kentucky Retirement Systems, KERS employer contribution rate for quasi-governmental employers; Retirement, KERS employer rates; Retirement, KERS employer contribution rate for quasi-governmental employers; Kentucky Retirement Systems, KERS employer contribution rate for quasi-governmental employers; Kentucky Retirement Systems, KERS employer contribution rate for quasi-governmental employers; Kentucky Retirement Systems, KERS employer contribution rate for quasi-governmental employers",07/19/19: posted in committee,https://apps.legislature.ky.gov/record/19ss/hb2.html
2020 Regular Session,HB6,AN ACT proposing an amendment to Section 145 of the Constitution of Kentucky relating to persons entitled to vote.,"Crimes and Punishments; Elections and Voting; Constitution, Ky.","Voting rights, prohibitions relating to; Voting rights, prohibitions relating to; Voting rights, prohibitions relating to","01/07/20: to Elections, Const. Amendments &amp; Intergovernmental Affairs (H)",https://apps.legislature.ky.gov/record/20rs/hb6.html
2020 Regular Session,HB21,AN ACT relating to mandatory benefits for health benefit plans.,"Effective Dates, Delayed; Effective Dates, Delayed; Insurance, Health; Insurance, Health; Insurance, Health; Health Benefit Mandate; Jump to Proposed Amendments; House Floor Amendment 1; House Floor Amendment 2","Coverage for preexisting conditions, January 1, 2021; Insurance eligibility and premium requirements, January 1, 2021; Health status-related factors prohibited, insurance eligibility; Health status-related factors, insurance premium requirements; Preexisting conditions, insurance coverage, requiring; Coverage for preexisting conditions, January 1, 2021",02/28/20: floor amendment (2) filed,https://apps.legislature.ky.gov/record/20rs/hb21.html
2020 Regular Session,HB26,AN ACT relating to an exemption of feminine hygiene products from sales and use taxation.,"Fiscal Note; Reproductive Issues; Taxation; Taxation, Sales and Use; Women; Reports Mandated","Sales and use tax, feminine hygiene products, exemption of; Sales and use tax, feminine hygiene products, exemption of; Sales and use tax, feminine hygiene products, exemption of; Feminine hygiene products, exemption of; Sales and use tax, feminine hygiene products, exemption of; Department of Revenue, expenditure report, feminine hygiene products",01/07/20: to Appropriations &amp; Revenue (H),https://apps.legislature.ky.gov/record/20rs/hb26.html
2020 Regular Session,HB39,AN ACT relating to wages.,Labor and Industry; Local Government; Personnel and Employment; Wages and Hours; Cities; Counties,"State minimum wage, increase; Minimum wage, authority to establish; State minimum wage, increase; State minimum wage, increase; Minimum wage, authority to establish; Minimum wage, authority to establish",01/07/20: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/20rs/hb39.html
2020 Regular Session,HB12,AN ACT relating to prescription insulin.,"Health Benefit Mandate; Drugs and Medicines; Effective Dates, Delayed; Insurance, Health; Jump to Proposed Amendments; House Committee Substitute 1; House Floor Amendment 1; Senate Committee Substitute 1; Votes; Vote History","Prescription insulin drugs, cost sharing, capped; Prescription insulin drugs, cost sharing, capped; Prescription insulin drugs, cost sharing, January 1, 2021; Prescription insulin drugs, cost sharing, capped",04/15/20: recommitted to Banking &amp; Insurance (S),https://apps.legislature.ky.gov/record/20rs/hb12.html
2020 Regular Session,HB33,AN ACT relating to discriminatory practices against a person.,Race Relations; Civil Procedure; Civil Rights,"Hair texture and hairstyle, expanding the definition of race to include; Hair texture and hairstyle, expanding the definition of race to include; Hair texture and hairstyle, expanding the definition of race to include",01/07/20: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/20rs/hb33.html
2020 Regular Session,HB25,AN ACT relating to public charter schools.,"Education, Elementary and Secondary; Teachers; Athletics","Public charter schools, repeal; Public charter schools, repeal; Public charter schools, repeal",01/07/20: to Education (H),https://apps.legislature.ky.gov/record/20rs/hb25.html
2020 Regular Session,HB41,AN ACT relating to full-day kindergarten.,"Education, Elementary and Secondary; Children and Minors","Kindergarten, full day of instruction for; Kindergarten, full day of attendance for",01/07/20: to Education (H),https://apps.legislature.ky.gov/record/20rs/hb41.html
2020 Regular Session,HB27,AN ACT relating to state symbols.,"State Symbols and Emblems; Animals, Livestock, and Poultry; Dogs; Votes; Vote History","Shelter pets, official pets of Kentucky, name and designate; Shelter pets, official pets of Kentucky, name and designate; Shelter pets, official pets of Kentucky, name and designate",01/27/20: to State &amp; Local Government (S),https://apps.legislature.ky.gov/record/20rs/hb27.html
2020 Regular Session,HB43,AN ACT relating to criminal histories of job applicants.,Labor and Industry; Local Mandate; Personnel and Employment; Civil Rights; Short Titles and Popular Names,"Employment discrimination, requirement of criminal history on job applications, prohibition; Employment discrimination, requirement of criminal history on job applications, prohibition; Employment discrimination, requirement of criminal history on job applications, prohibition; Employment discrimination, requirement of criminal history on job applications, prohibition; Ban the Box-The Criminal Record Employment Discrimination Act",01/07/20: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/20rs/hb43.html
2020 Regular Session,HB79,AN ACT relating to elections.,County Clerks; Elections and Voting; State Agencies; Administrative Regulations and Proceedings; Counties; Local Mandate,"County board of elections, counties of 90,000 or more population, provide designated voting location; Designation of countywide voting locations, counties with population of 90,000 or more; State Board of Elections, approval of countywide voting locations; State Board of Elections, prescribe forms; Population of 90,000 or more, designation of countywide voting locations; Designation of countywide voting locations, counties with population of 90,000 or more","01/07/20: to Elections, Const. Amendments &amp; Intergovernmental Affairs (H)",https://apps.legislature.ky.gov/record/20rs/hb79.html
2020 Regular Session,HB78,AN ACT relating to voting.,County Clerks; Elections and Voting; Secretary of State; State Agencies; Corrections Impact; Local Mandate,"Early voting, omnibus bill; Early voting, omnibus bill; Early voting, omnibus bill; Early voting, application form, signature roster; Early voting, omnibus bill; Early voting, omnibus bill","01/07/20: to Elections, Const. Amendments &amp; Intergovernmental Affairs (H)",https://apps.legislature.ky.gov/record/20rs/hb78.html
2020 Regular Session,HB56,AN ACT relating to the taxation of certain services.,"Effective Dates, Delayed; Taxation; Taxation, Sales and Use; Agriculture","Sales and use tax, farm land maintenance services, exemption of, August 1, 2020; Sales and use, pasture, agricultural, and horticultural land maintenance services, exemption of; Pasture, agricultural, and horticultural land maintenance services, exemption of; Tax, sales and use, pasture, agricultural, and horticulture land maintenance services, exemption of",01/07/20: to Appropriations &amp; Revenue (H),https://apps.legislature.ky.gov/record/20rs/hb56.html
2020 Regular Session,HB77,AN ACT relating to prevailing wage.,Local Mandate; Labor and Industry; Public Works; Wages and Hours,"Prevailing wage for public works, creating; Prevailing wage, public works, creating; Prevailing wage, creating; Prevailing wage for public works, creating",01/07/20: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/20rs/hb77.html
